order_id,date,distance_km,shipment_volume_units,traffic_level,vehicle_type,weather,delivery_time_min,transport_cost,delay_min
ORD0001,2026-01-01,32.27,116,Low,Van,Clear,108.7,198.44,-9.7
ORD0002,2026-01-02,13.44,112,Low,Van,Cloudy,68.8,184.22,-21.4
ORD0003,2026-01-03,38.51,108,High,Van,Clear,135.8,218.29,8.0
ORD0004,2026-01-04,41.17,118,Medium,Truck,Clear,156.7,250.09,25.0
ORD0005,2026-01-05,3.0,115,Medium,Truck,Clear,86.4,97.13,11.9
ORD0006,2026-01-06,9.77,123,Medium,Truck,Clear,83.2,186.97,-1.5
ORD0007,2026-01-07,29.79,109,Medium,Van,Clear,92.0,256.38,-22.6
ORD0008,2026-01-08,23.57,91,High,Van,Clear,95.1,183.51,-10.3
ORD0009,2026-01-09,27.76,113,Medium,Bike,Rain,111.0,168.8,-0.7
ORD0010,2026-01-10,16.06,113,Medium,Truck,Clear,95.2,151.45,1.1
ORD0011,2026-01-11,40.31,131,Medium,Truck,Clear,148.1,251.49,17.6
ORD0012,2026-01-12,38.89,115,High,Truck,Clear,155.7,189.81,27.4
ORD0013,2026-01-13,28.92,108,Medium,Bike,Clear,112.1,162.5,-1.3
ORD0014,2026-01-14,43.78,123,High,Van,Clear,177.2,293.04,41.5
ORD0015,2026-01-15,34.55,109,Low,Van,Cloudy,115.7,228.96,-6.1
ORD0016,2026-01-16,15.97,115,High,Truck,Cloudy,98.0,268.45,4.1
ORD0017,2026-01-17,33.16,117,Medium,Van,Clear,136.0,201.96,16.3
ORD0018,2026-01-18,14.58,106,Low,Bike,Clear,59.3,188.33,-25.0
ORD0019,2026-01-19,40.3,109,Medium,Truck,Clear,153.3,240.79,22.9
ORD0020,2026-01-20,27.3,105,Medium,Bike,Clear,114.2,188.08,3.3
ORD0021,2026-01-21,25.41,124,Low,Bike,Cloudy,103.5,195.11,-4.6
ORD0022,2026-01-22,18.47,122,Medium,Truck,Clear,125.4,195.54,27.7
ORD0023,2026-01-23,45.12,104,High,Bike,Clear,153.6,271.11,15.9
ORD0024,2026-01-24,25.84,131,Low,Truck,Rain,146.6,171.69,37.9
ORD0025,2026-01-25,22.0,87,Medium,Bike,Clear,94.6,100.68,-8.4
ORD0026,2026-01-26,23.07,112,Medium,Van,Clear,92.1,129.3,-12.6
ORD0027,2026-01-27,35.45,107,Medium,Truck,Cloudy,140.3,228.35,17.1
ORD0028,2026-01-28,33.12,105,High,Truck,Clear,127.7,203.34,8.0
ORD0029,2026-01-29,33.78,117,Medium,Van,Clear,118.8,179.39,-1.9
ORD0030,2026-01-30,34.03,104,Low,Van,Clear,126.5,193.82,5.4
ORD0031,2026-01-31,57.98,131,High,Bike,Rain,206.7,344.1,49.8
ORD0032,2026-02-01,22.31,107,High,Truck,Clear,110.2,187.39,6.7
ORD0033,2026-02-02,20.83,119,Low,Van,Clear,106.7,139.34,5.5
ORD0034,2026-02-03,16.61,116,High,Van,Clear,116.6,221.29,21.7
ORD0035,2026-02-04,36.62,114,Low,Van,Clear,144.4,256.16,19.4
ORD0036,2026-02-05,43.81,118,High,Van,Cloudy,172.9,295.26,37.2
ORD0037,2026-02-06,26.4,107,Medium,Bike,Clear,129.2,235.99,19.6
ORD0038,2026-02-07,16.24,110,Medium,Van,Clear,73.9,229.5,-20.5
ORD0039,2026-02-08,16.46,109,Low,Van,Clear,81.4,186.7,-13.3
ORD0040,2026-02-09,37.11,143,High,Truck,Cloudy,142.9,253.94,17.2
ORD0041,2026-02-10,38.41,116,Low,Van,Clear,132.6,228.45,5.0
ORD0042,2026-02-11,35.6,119,Low,Van,Rain,129.6,225.2,6.2
ORD0043,2026-02-12,18.68,112,Low,Truck,Cloudy,96.7,120.19,-1.3
ORD0044,2026-02-13,31.25,132,Medium,Truck,Clear,149.6,214.45,32.7
ORD0045,2026-02-14,29.63,120,Low,Bike,Cloudy,111.5,140.45,-3.0
ORD0046,2026-02-15,31.06,129,High,Truck,Rain,154.8,202.26,38.2
ORD0047,2026-02-16,40.2,146,Medium,Truck,Clear,151.9,317.34,21.6
ORD0048,2026-02-17,31.13,109,Low,Bike,Rain,129.0,249.63,12.3
ORD0049,2026-02-18,37.5,120,Low,Bike,Clear,124.8,247.13,-1.5
ORD0050,2026-02-19,28.95,113,Low,Truck,Cloudy,124.5,170.51,11.1
ORD0051,2026-02-20,32.05,107,Medium,Bike,Rain,143.7,145.86,25.6
ORD0052,2026-02-21,36.84,108,High,Bike,Clear,161.7,224.93,36.5
ORD0053,2026-02-22,7.6,105,Low,Bike,Cloudy,71.5,133.32,-9.9
ORD0054,2026-02-23,23.52,148,High,Van,Clear,128.5,227.13,23.2
ORD0055,2026-02-24,21.41,122,Low,Truck,Cloudy,88.4,191.66,-13.7
ORD0056,2026-02-25,19.06,97,High,Van,Cloudy,109.4,169.91,10.8
ORD0057,2026-02-26,24.15,103,High,Truck,Clear,131.1,187.94,24.9
ORD0058,2026-02-27,48.93,118,Medium,Truck,Clear,176.8,219.34,33.4
ORD0059,2026-02-28,15.88,106,Medium,Bike,Clear,89.3,162.99,-4.5
ORD0060,2026-03-01,41.56,106,High,Bike,Clear,162.6,247.63,30.3
ORD0061,2026-03-02,4.44,92,Low,Van,Clear,64.1,75.88,-12.6
ORD0062,2026-03-03,23.31,122,Low,Truck,Clear,119.2,159.03,14.2
ORD0063,2026-03-04,30.28,123,Low,Truck,Clear,118.8,154.15,3.3
ORD0064,2026-03-05,36.21,77,Medium,Van,Clear,127.2,188.32,2.9
ORD0065,2026-03-06,37.96,116,Medium,Van,Cloudy,151.1,321.31,24.1
ORD0066,2026-03-07,39.11,98,Medium,Van,Cloudy,105.8,205.28,-22.8
ORD0067,2026-03-08,23.12,95,High,Bike,Cloudy,119.5,178.42,14.8
ORD0068,2026-03-09,21.53,113,Low,Truck,Clear,62.0,119.3,-25.0
ORD0069,2026-03-10,40.01,145,Medium,Bike,Rain,136.6,245.99,6.6
ORD0070,2026-03-11,25.32,111,Low,Truck,Clear,111.7,146.74,3.8
ORD0071,2026-03-12,10.14,121,Low,Bike,Clear,74.2,102.09,-11.0
ORD0072,2026-03-13,12.13,110,Medium,Van,Clear,71.4,207.21,-16.8
