shipment_id,distance_km,shipment_volume,transportation_cost,traffic_level,vehicle_type,weather_condition,delivery_time_days
S0001,62,15,211.92,High,Van,Clear,9.33
S0002,392,59,685.55,Medium,Van,Clear,9.97
S0003,334,10,495.51,Low,Truck,Clear,7.78
S0004,231,65,527.92,Medium,Van,Rain,7.48
S0005,228,63,538.77,Medium,Van,Clear,4.25
S0006,432,9,654.44,High,Van,Clear,12.8
S0007,61,76,437.08,Medium,Truck,Clear,3.72
S0008,355,42,619.78,Medium,Van,Clear,9.71
S0009,116,79,461.13,Medium,Truck,Clear,3.66
S0010,65,5,116.96,Medium,Truck,Clear,3.42
S0011,273,18,440.4,Medium,Truck,Clear,9.13
S0012,489,50,824.66,High,Truck,Clear,15.94
S0013,373,19,601.12,Medium,Truck,Clear,11.54
S0014,386,33,625.82,Low,Van,Clear,6.47
S0015,365,67,727.24,Low,Truck,Clear,11.15
S0016,398,15,601.78,Medium,Truck,Cloudy,10.26
S0017,266,68,630.31,High,Van,Clear,11.61
S0018,81,11,216.97,Low,Truck,Clear,3.68
S0019,423,18,600.84,Low,Van,Clear,6.9
S0020,236,59,531.71,Medium,Truck,Clear,8.02
S0021,260,80,471.12,Low,Truck,Clear,8.31
S0022,198,18,375.33,High,Bike,Clear,9.27
S0023,107,30,122.87,Low,Bike,Rain,4.5
S0024,465,93,797.59,Low,Truck,Clear,14.43
S0025,395,99,831.78,High,Truck,Clear,15.8
S0026,329,59,645.04,Low,Truck,Clear,8.38
S0027,213,45,398.64,Low,Van,Clear,7.02
S0028,415,35,623.21,Low,Bike,Clear,12.37
S0029,282,62,639.57,Low,Truck,Cloudy,12.05
S0030,233,60,494.17,Low,Van,Rain,5.81
S0031,236,30,536.33,Low,Van,Clear,4.4
S0032,129,3,236.66,Low,Bike,Clear,5.88
S0033,64,16,216.76,Low,Van,Clear,1.0
S0034,286,96,750.46,Medium,Van,Clear,6.76
S0035,447,42,717.55,Medium,Van,Cloudy,11.21
S0036,50,49,229.59,Medium,Van,Clear,4.91
S0037,432,47,703.46,Low,Van,Clear,9.66
S0038,418,79,780.3,Medium,Truck,Rain,12.83
S0039,153,7,214.14,High,Van,Clear,6.45
S0040,323,9,465.14,High,Bike,Clear,9.13
S0041,99,28,238.85,Low,Bike,Cloudy,1.79
S0042,384,49,700.4,Low,Van,Clear,13.1
S0043,356,68,681.36,Low,Van,Clear,9.16
S0044,190,50,425.77,Low,Truck,Clear,7.71
S0045,52,45,261.02,Medium,Van,Rain,5.1
S0046,486,94,912.14,Medium,Van,Clear,12.5
S0047,234,17,424.46,Low,Bike,Clear,4.06
S0048,449,58,713.76,Medium,Bike,Clear,6.47
S0049,346,55,585.03,Medium,Truck,Clear,8.1
S0050,394,48,717.21,Low,Van,Cloudy,6.42
S0051,385,81,730.99,High,Truck,Clear,9.54
S0052,113,27,221.79,Low,Truck,Cloudy,2.75
S0053,195,96,593.02,High,Van,Cloudy,12.28
S0054,244,34,476.65,Low,Truck,Rain,8.72
S0055,259,55,462.97,High,Van,Clear,12.45
S0056,41,53,285.88,High,Van,Rain,8.6
S0057,282,85,675.4,High,Truck,Cloudy,13.64
S0058,94,44,328.15,High,Van,Clear,5.35
S0059,377,29,623.19,Medium,Van,Cloudy,11.6
S0060,348,3,425.41,Medium,Bike,Rain,11.9
S0061,463,37,730.95,Medium,Bike,Clear,10.3
S0062,378,83,733.48,Low,Truck,Rain,12.79
S0063,196,1,286.47,Medium,Bike,Clear,6.96
S0064,485,90,928.93,Medium,Bike,Cloudy,11.81
S0065,217,55,550.12,High,Van,Rain,9.21
S0066,176,15,405.15,Medium,Van,Clear,4.14
S0067,455,31,749.22,Medium,Van,Rain,13.62
S0068,198,56,459.56,Medium,Van,Clear,7.62
S0069,56,32,249.87,Low,Truck,Cloudy,2.51
S0070,245,11,427.06,Low,Van,Cloudy,6.54
S0071,402,67,735.35,Medium,Truck,Clear,12.81
S0072,111,68,403.93,Medium,Van,Clear,6.64
S0073,242,12,428.97,Low,Van,Clear,8.75
S0074,82,29,252.83,Medium,Bike,Clear,6.38
S0075,350,25,519.68,Medium,Van,Clear,7.76
S0076,248,66,531.35,Low,Van,Clear,9.59
S0077,178,74,520.43,Medium,Van,Clear,5.9
S0078,129,73,432.88,Medium,Truck,Clear,8.59
S0079,291,94,693.16,Low,Truck,Cloudy,9.1
S0080,342,77,719.05,High,Truck,Cloudy,12.53
S0081,472,33,698.33,High,Van,Cloudy,11.19
S0082,230,11,409.33,Medium,Van,Clear,6.91
S0083,97,62,382.2,Low,Bike,Rain,2.2
S0084,420,92,765.03,Medium,Truck,Cloudy,14.57
S0085,322,98,789.6,High,Truck,Clear,15.36
S0086,356,24,534.07,Medium,Truck,Clear,9.04
S0087,66,24,148.62,High,Truck,Cloudy,8.03
S0088,170,4,239.67,Medium,Van,Clear,4.65
S0089,389,15,523.4,Medium,Van,Clear,9.06
S0090,420,56,722.15,Low,Truck,Rain,13.71
S0091,229,55,485.03,Medium,Van,Clear,7.53
S0092,407,38,639.29,Low,Bike,Clear,11.91
S0093,424,31,682.29,Medium,Truck,Rain,12.79
S0094,206,83,564.59,High,Truck,Cloudy,12.57
S0095,451,47,744.47,Low,Bike,Clear,9.89
S0096,158,81,506.94,Medium,Truck,Rain,10.58
S0097,135,97,534.58,Low,Bike,Rain,5.28
S0098,348,32,474.94,Medium,Truck,Clear,10.26
S0099,326,21,497.3,Low,Bike,Cloudy,7.38
S0100,87,96,350.74,High,Van,Clear,5.77
S0101,420,64,743.82,Low,Truck,Clear,11.78
S0102,116,30,297.19,High,Truck,Cloudy,9.71
S0103,407,63,771.5,High,Van,Clear,14.14
S0104,23,52,305.49,Medium,Van,Cloudy,7.01
S0105,403,91,807.37,Medium,Bike,Rain,15.16
S0106,398,26,587.98,Medium,Truck,Clear,10.61
S0107,395,100,836.08,High,Van,Cloudy,14.37
S0108,339,94,709.29,Low,Van,Clear,7.43
S0109,246,19,416.04,Medium,Van,Rain,9.41
S0110,359,17,584.83,Low,Van,Clear,7.13
S0111,153,54,382.05,Medium,Bike,Cloudy,9.07
S0112,395,5,584.51,Low,Van,Cloudy,9.91
S0113,287,30,524.53,Medium,Van,Clear,8.08
S0114,240,44,436.23,Medium,Truck,Cloudy,11.13
S0115,263,97,697.88,Medium,Van,Cloudy,5.29
S0116,293,100,728.39,Medium,Van,Cloudy,6.16
S0117,37,16,171.94,Medium,Truck,Cloudy,6.35
S0118,87,90,397.75,Medium,Truck,Rain,7.97
S0119,138,10,228.04,Medium,Bike,Clear,5.37
S0120,75,75,352.06,Medium,Truck,Clear,3.31
S0121,231,85,608.07,High,Truck,Clear,10.72
S0122,341,90,681.15,Low,Truck,Cloudy,13.44
S0123,334,23,548.19,Low,Bike,Clear,8.76
S0124,246,90,559.02,Low,Truck,Clear,7.84
S0125,431,12,600.07,Medium,Bike,Clear,9.68
S0126,291,52,565.18,Medium,Truck,Rain,10.64
S0127,58,47,388.33,Medium,Bike,Clear,1.0
S0128,387,32,552.67,Medium,Van,Cloudy,11.27
S0129,296,3,495.04,Low,Truck,Clear,9.22
S0130,325,78,678.89,High,Van,Rain,10.61
S0131,291,34,528.35,Medium,Truck,Clear,8.19
S0132,286,67,601.83,Low,Truck,Clear,6.02
S0133,63,42,290.06,Medium,Bike,Rain,3.94
S0134,288,38,510.68,Low,Bike,Rain,8.44
S0135,402,89,856.93,Low,Van,Clear,6.0
S0136,166,10,278.36,Low,Truck,Clear,6.37
S0137,309,74,693.5,High,Truck,Cloudy,14.0
S0138,34,75,300.1,Medium,Van,Rain,5.47
S0139,187,38,398.74,Medium,Van,Clear,2.18
S0140,230,27,371.86,Medium,Van,Clear,5.52
S0141,492,1,669.08,Medium,Truck,Cloudy,15.55
S0142,123,94,549.68,High,Truck,Cloudy,4.35
S0143,153,95,518.47,Medium,Bike,Cloudy,5.95
S0144,216,25,389.54,Medium,Truck,Cloudy,6.24
S0145,497,4,612.59,Medium,Bike,Clear,13.06
S0146,430,13,600.58,High,Van,Rain,13.55
S0147,36,7,69.32,Medium,Truck,Rain,6.78
S0148,132,84,425.92,High,Van,Cloudy,9.56
S0149,415,90,819.46,Low,Truck,Clear,14.07
S0150,48,16,239.36,High,Bike,Clear,4.99
S0151,431,75,912.06,Medium,Bike,Cloudy,12.37
S0152,155,18,282.25,Low,Bike,Clear,1.16
S0153,461,37,778.34,Medium,Van,Rain,15.78
S0154,161,60,444.12,Medium,Van,Clear,5.02
S0155,228,72,536.99,Low,Van,Cloudy,5.75
S0156,338,88,734.57,Medium,Van,Rain,11.76
S0157,80,5,188.79,High,Truck,Clear,4.3
S0158,287,20,471.02,Low,Truck,Clear,8.07
S0159,262,29,444.13,Medium,Truck,Cloudy,11.0
S0160,397,32,563.24,Medium,Bike,Cloudy,11.02
S0161,499,100,864.39,Low,Truck,Clear,9.53
S0162,339,78,717.65,High,Bike,Cloudy,11.71
S0163,216,33,408.35,Medium,Van,Rain,10.27
S0164,215,98,574.83,Low,Van,Clear,2.88
S0165,221,50,474.53,High,Truck,Clear,8.28
S0166,411,51,731.22,High,Bike,Clear,14.1
S0167,174,44,411.42,Low,Van,Clear,5.46
S0168,100,15,207.48,High,Truck,Clear,8.31
S0169,180,94,605.38,Low,Truck,Clear,9.76
S0170,30,2,191.16,High,Van,Cloudy,6.73
S0171,71,18,234.31,Medium,Van,Clear,5.47
S0172,63,23,260.66,Medium,Bike,Rain,10.38
S0173,391,28,663.94,Low,Truck,Clear,9.34
S0174,367,14,592.1,High,Van,Clear,10.4
S0175,355,2,521.48,Low,Bike,Cloudy,8.74
S0176,242,68,575.63,Low,Van,Rain,9.09
S0177,364,97,793.58,Low,Bike,Clear,7.64
S0178,97,13,178.57,Medium,Van,Clear,2.82
S0179,453,30,716.48,Low,Truck,Clear,15.05
S0180,261,51,461.94,High,Van,Clear,10.72
S0181,471,93,846.29,Medium,Van,Clear,11.2
S0182,93,70,441.61,Low,Bike,Clear,4.89
S0183,259,77,631.26,Low,Van,Clear,6.72
S0184,354,59,719.23,Low,Van,Clear,8.09
S0185,258,42,482.07,Medium,Van,Rain,10.83
S0186,234,20,353.25,High,Truck,Cloudy,8.29
S0187,99,87,426.63,Low,Bike,Clear,4.11
S0188,203,81,544.84,High,Bike,Clear,12.33
S0189,134,3,246.05,Low,Van,Clear,4.65
S0190,165,72,522.37,High,Van,Clear,7.93
