order_id,distance_km,shipment_volume_units,delivery_time_min,transport_cost,delay_min,route_type
ORD0001,35.4,103,61.9,184.63,24.7,Intercity
ORD0002,52.7,25,110.0,360.74,22.4,Urban
ORD0003,5.0,192,99.0,278.9,-15.6,Intercity
ORD0004,55.3,118,54.1,269.94,14.4,Suburban
ORD0005,29.3,116,92.2,196.08,-4.5,Suburban
ORD0006,18.0,236,129.9,279.74,21.1,Urban
ORD0007,18.0,111,93.3,323.39,49.2,Intercity
ORD0008,13.8,26,164.3,281.31,22.9,Intercity
ORD0009,26.6,185,174.4,188.55,31.1,Suburban
ORD0010,42.5,158,104.3,243.61,2.0,Urban
ORD0011,38.8,132,134.4,150.87,-13.6,Urban
ORD0012,39.6,66,184.7,196.66,9.2,Intercity
ORD0013,5.0,190,103.4,268.09,31.7,Urban
ORD0014,6.4,243,83.5,178.44,41.2,Suburban
ORD0015,53.3,94,100.2,202.61,7.6,Suburban
ORD0016,44.5,205,66.9,335.2,14.5,Intercity
ORD0017,62.7,122,67.8,207.69,0.2,Intercity
ORD0018,48.1,69,122.3,282.04,-20.0,Urban
ORD0019,14.6,86,100.4,197.2,10.9,Urban
ORD0020,49.3,243,123.6,130.65,16.6,Suburban
ORD0021,39.4,54,132.1,221.47,-0.1,Intercity
ORD0022,33.2,91,88.2,192.53,5.2,Suburban
ORD0023,17.7,54,108.2,61.29,-20.0,Suburban
ORD0024,30.0,178,105.6,125.59,10.3,Intercity
ORD0025,27.8,113,91.6,187.74,39.4,Urban
ORD0026,43.4,80,85.7,338.42,8.5,Urban
ORD0027,31.9,47,126.0,175.51,22.1,Suburban
ORD0028,53.8,87,110.1,218.61,18.8,Intercity
ORD0029,18.4,96,126.6,271.18,-7.6,Urban
ORD0030,37.1,34,150.0,244.3,13.6,Intercity
ORD0031,37.5,57,150.5,194.32,-9.0,Intercity
ORD0032,17.0,87,76.1,356.25,73.1,Urban
ORD0033,12.3,163,85.0,327.55,13.5,Urban
ORD0034,45.2,114,106.0,50.0,-14.9,Urban
ORD0035,37.8,205,119.3,297.45,-20.0,Urban
ORD0036,27.6,26,147.8,264.36,41.8,Suburban
ORD0037,35.9,89,81.3,298.95,22.5,Urban
ORD0038,19.9,22,99.7,228.27,17.7,Suburban
ORD0039,33.6,39,123.6,286.7,-20.0,Suburban
ORD0040,20.9,22,158.0,374.16,-3.3,Suburban
ORD0041,32.8,156,163.3,357.04,-17.6,Urban
ORD0042,44.8,222,79.8,363.22,33.1,Intercity
ORD0043,24.9,164,107.6,304.8,-2.5,Urban
ORD0044,42.7,115,86.7,294.47,51.3,Intercity
ORD0045,14.5,85,144.7,295.98,20.4,Urban
ORD0046,25.7,230,130.6,132.45,1.9,Intercity
ORD0047,9.5,179,102.5,401.58,38.4,Urban
ORD0048,28.5,130,93.6,240.09,-20.0,Intercity
ORD0049,31.2,200,125.3,247.01,-9.3,Suburban
ORD0050,27.0,148,149.3,230.75,0.2,Suburban
ORD0051,26.0,39,88.1,258.85,32.5,Intercity
ORD0052,50.1,105,103.7,52.93,32.6,Urban
ORD0053,51.4,226,119.0,239.5,16.8,Suburban
ORD0054,11.8,199,115.6,120.71,-20.0,Urban
ORD0055,47.6,41,126.8,142.99,-2.6,Intercity
ORD0056,5.0,98,80.0,73.64,-15.2,Urban
ORD0057,19.0,230,94.2,84.86,36.4,Suburban
ORD0058,27.4,205,41.5,267.68,-0.7,Suburban
ORD0059,31.7,38,117.0,182.27,21.9,Intercity
ORD0060,14.3,110,152.5,212.87,49.8,Urban
ORD0061,19.2,48,43.0,207.45,7.4,Urban
ORD0062,31.1,49,92.9,128.85,24.3,Urban
ORD0063,19.6,72,146.4,164.71,0.6,Suburban
ORD0064,20.4,116,110.0,120.87,10.0,Intercity
ORD0065,40.0,106,48.7,196.17,9.9,Urban
ORD0066,44.0,26,155.9,50.0,9.3,Intercity
ORD0067,29.1,166,65.1,189.48,10.5,Urban
ORD0068,30.3,109,163.0,293.02,0.3,Urban
ORD0069,29.7,98,94.5,316.5,50.0,Urban
ORD0070,23.2,108,90.3,311.51,-5.3,Intercity
ORD0071,22.3,71,115.9,259.9,14.4,Urban
ORD0072,14.4,182,114.2,140.6,2.4,Intercity
ORD0073,39.7,135,136.0,292.48,-20.0,Suburban
ORD0074,28.7,249,132.6,261.65,30.3,Suburban
ORD0075,27.9,236,109.8,241.47,14.0,Intercity
ORD0076,33.0,55,161.3,123.97,-20.0,Suburban
ORD0077,38.0,67,140.0,251.35,-7.1,Intercity
ORD0078,51.3,160,124.6,332.47,-20.0,Urban
ORD0079,25.9,133,119.7,279.23,15.1,Urban
ORD0080,24.0,212,111.7,202.06,43.2,Intercity
ORD0081,33.0,165,112.3,263.58,35.6,Intercity
ORD0082,17.3,176,138.3,220.5,-19.6,Intercity
ORD0083,49.1,109,131.6,234.36,-20.0,Urban
ORD0084,43.9,73,116.4,287.39,20.4,Intercity
ORD0085,40.4,78,150.5,247.5,45.8,Urban
ORD0086,28.2,116,105.8,225.96,9.9,Urban
ORD0087,41.1,144,130.3,250.73,31.8,Suburban
ORD0088,45.8,234,145.1,154.98,-20.0,Intercity
ORD0089,37.5,198,76.0,140.94,6.2,Urban
ORD0090,25.8,139,105.8,258.66,18.4,Suburban
ORD0091,5.0,182,173.4,172.98,-0.4,Suburban
ORD0092,44.2,175,81.5,264.57,3.6,Suburban
ORD0093,24.7,47,155.3,73.78,23.7,Urban
ORD0094,17.4,91,77.9,315.3,-5.1,Urban
ORD0095,43.4,178,129.2,212.13,-13.3,Urban
ORD0096,35.1,202,77.8,352.51,25.0,Suburban
ORD0097,8.7,52,93.4,50.0,13.9,Urban
ORD0098,28.5,149,101.9,86.37,-13.4,Urban
